path,title,order,section,description
"/intro","Introduction","1A","Welcome","Learn Next.js with Scott Moss and Frontend Masters"
"/overview","Course Overview","1B","Welcome","Learn Next.js with Scott Moss and Frontend Masters"
"/setup","Setup","1C","Welcome","Learn Next.js with Scott Moss and Frontend Masters"
"/what-youll-learn","What you'll learn","2A","Next.js","Learn Next.js with Scott Moss and Frontend Masters"
"/what-is-nextjs","What is Next.js","2B","Next.js","Learn Next.js with Scott Moss and Frontend Masters"
"/getting-starterd","Getting Started","2C","Next.js","Learn Next.js with Scott Moss and Frontend Masters"
"/pages","Routing with Pages","3A","Routing","Learn Next.js with Scott Moss and Frontend Masters"
"/navigation","Navigation","3B","Routing","Learn Next.js with Scott Moss and Frontend Masters"
"/styling","Styling","4A","CSS and Styling","Learn Next.js with Scott Moss and Frontend Masters"
"/themeui","Theme UI","4B","CSS and Styling","Learn Next.js with Scott Moss and Frontend Masters"
"/config","Customizing Next.js config","5A","Configuration","Learn Next.js with Scott Moss and Frontend Masters"
"/plugins","Plugins","5B","Configuration","Learn Next.js with Scott Moss and Frontend Masters"
"/api","API Routes","6A","API","Learn Next.js with Scott Moss and Frontend Masters"
"/api-handlers","API Handlers","6B","API","Learn Next.js with Scott Moss and Frontend Masters"
"/fetching-data","Fetching Data","7A","Data Fetching","Learn Next.js with Scott Moss and Frontend Masters"
"/rendering-modes","Rendering Modes","7B","Data Fetching","Learn Next.js with Scott Moss and Frontend Masters"
"/working-with-ssr","Working with SSR","8A","Advanced Topics","Learn Next.js with Scott Moss and Frontend Masters"
"/deployment","Deployment","9A","Deployment","Learn Next.js with Scott Moss and Frontend Masters"
"/final","Final Thoughts","10A","Wrap up","Learn Next.js with Scott Moss and Frontend Masters"
